CustomerID,CustomerName,City,Segment
C0001,Customer_1,Bengaluru,Corporate
C0002,Customer_2,Delhi,Regular
C0003,Customer_3,Jaipur,Corporate
C0004,Customer_4,Chandigarh,Corporate
C0005,Customer_5,Hyderabad,Premium
C0006,Customer_6,Delhi,Corporate
C0007,Customer_7,Hyderabad,Premium
C0008,Customer_8,Bengaluru,Regular
C0009,Customer_9,Delhi,Regular
C0010,Customer_10,Chandigarh,Regular
C0011,Customer_11,Mumbai,Premium
C0012,Customer_12,Indore,Premium
C0013,Customer_13,Hyderabad,Corporate
C0014,Customer_14,Indore,Corporate
C0015,Customer_15,Indore,Regular
C0016,Customer_16,Chennai,Premium
C0017,Customer_17,Hyderabad,Regular
C0018,Customer_18,Mumbai,Corporate
C0019,Customer_19,Indore,Premium
C0020,Customer_20,Delhi,Regular
C0021,Customer_21,Jaipur,Regular
C0022,Customer_22,Indore,Premium
C0023,Customer_23,Jaipur,Regular
C0024,Customer_24,Indore,Corporate
C0025,Customer_25,Ahmedabad,Premium
C0026,Customer_26,Mumbai,Corporate
C0027,Customer_27,Ahmedabad,Premium
C0028,Customer_28,Chennai,Corporate
C0029,Customer_29,Chandigarh,Premium
C0030,Customer_30,Chandigarh,Corporate
C0031,Customer_31,Hyderabad,Regular
C0032,Customer_32,Hyderabad,Premium
C0033,Customer_33,Indore,Premium
C0034,Customer_34,Pune,Regular
C0035,Customer_35,Bengaluru,Premium
C0036,Customer_36,Bengaluru,Regular
C0037,Customer_37,Ahmedabad,Corporate
C0038,Customer_38,Indore,Regular
C0039,Customer_39,Indore,Corporate
C0040,Customer_40,Pune,Corporate
C0041,Customer_41,Hyderabad,Premium
C0042,Customer_42,Hyderabad,Corporate
C0043,Customer_43,Chennai,Regular
C0044,Customer_44,Pune,Corporate
C0045,Customer_45,Bengaluru,Premium
C0046,Customer_46,Delhi,Premium
C0047,Customer_47,Chennai,Premium
C0048,Customer_48,Pune,Corporate
C0049,Customer_49,Pune,Regular
C0050,Customer_50,Chennai,Premium
C0051,Customer_51,Chandigarh,Corporate
C0052,Customer_52,Pune,Premium
C0053,Customer_53,Delhi,Premium
C0054,Customer_54,Jaipur,Regular
C0055,Customer_55,Bengaluru,Corporate
C0056,Customer_56,Jaipur,Regular
C0057,Customer_57,Mumbai,Premium
C0058,Customer_58,Chandigarh,Premium
C0059,Customer_59,Pune,Premium
C0060,Customer_60,Delhi,Premium
C0061,Customer_61,Jaipur,Corporate
C0062,Customer_62,Mumbai,Corporate
C0063,Customer_63,Chandigarh,Premium
